keyword,freq
ALFALFA FORAGE,7
NATURAL VARIATION,7
Aquaporin,7
sustainable agriculture,7
nucleolus,7
HINDGUT FERMENTATION,7
Parasitic plant,7
Fluorescent protein,7
POLYPLOIDY,7
Phytase,7
enhanced tolerance,7
Phytoestrogens,7
Broccoli,7
Phytoextraction,7
Net wrap,7
Geographic distribution,7
Net radiation,7
H+-pyrophosphatase,7
caecal microbiota,7
Nodule senescence,7
genome duplication,7
Mutants,7
FORMONONETIN,7
Plant Biology,7
POTASSIUM DIFORMATE,7
Apsim,7
ACID SYNTHESIS,7
Physiological index,7
Genome editing,7
UREA CONCENTRATION,7
In vitro methane production,7
semiarid climate,7
rate of digestion,7
Clavibacter michiganensis subsp,7
SORPTION,7
Volatile organic compound,7
vernalization,7
ROOT C,7
SOS1,7
Zeaxanthin,7
WATER ACTIVITY,7
TEA,7
Lactococcus lactis,7
Hydrogen sulfide,7
LIGASE,7
ECONOMY,7
TEMPERATE ENVIRONMENT,7
ENTEROBACTERIA,7
Root depth,7
wood,7
Yield monitor,7
pot culture,7
microclimate,7
RSM,7
Tithonia diversifolia,7
LIGNIN COMPOSITION,7
Root organ culture,7
DISINFECTION,7
late flowering,7
SOLANACEARUM,7
FABA,7
EPIDEMIOLOGY,7
Chloris gayana,7
HYPOCHLORITE,7
Sugars,7
mitochondrial genome,7
Seed disinfection,7
DMI1,7
SOIL BACTERIAL COMMUNITY,7
mitochondrial DNA,7
Cholesterol,7
RHIZOSPHERE ACIDIFICATION,7
mint,7
Seca,7
mineral composition,7
scotta,7
Suppressor,7
sewage sludge,7
SOIL SOLUTION,7
Surface water,7
root apical meristem,7
xylem sap,7
accD,7
E3 UBIQUITIN LIGASE,7
EARLY LACTATION,7
LIGNIN MODIFICATION,7
winter irrigation,7
Rice Straw,7
RUST,7
SQUAMOSA,7
Water productivity,7
APHID RESISTANCE,7
DIETARY INCLUSION,7
Compound leaf development,7
liquiritigenin,7
LIPASE,7
Wapiti,7
western Canada,7
Hedge lucerne,7
lipid oxidation,7
STOICHIOMETRY,7
metallothionein,7
Endodermis,7
Tapetum,7
Taraxacum officinale,7
Resistivity,7
roselle,7
WOX5,7
WOODY,7
linseed,7
seed maturation,7
Residue incorporation,7
AUTOREGULATION,7
STEMPHYLIUM,7
SUBSTRATE CONCENTRATION,7
Water retention,7
SUBSURFACE DRIP IRRIGATION,7
Correspondence analysis,7
Wolbachia,7
Insoluble fiber,7
RYE,7
APICAL MERISTEM,7
IMMUNOLOCALIZATION,7
light intensity,7
Ractopamine,7
Radiation use efficiency,7
Riboflavin,7
WEEVIL LARVAE,7
Enterococcus faecium,7
Corona discharge field,7
Comparative transcriptome,7
Rainfed,7
lignification,7
Wet corn gluten feed,7
Western wheatgrass,7
IMMUNITY,7
Herbage mass,7
meliloti symbiosis,7
Rhizobia symbiosis,7
SUBTROPICAL CLIMATE,7
lignin biosynthesis,7
Invertase,7
RETENTION TIME,7
WILT RESISTANCE,7
Auxin transport,7
LECTIN,7
ARABLE LAND,7
DUST,7
VERMICOMPOST,7
FEEDBACK INHIBITION,7
malate dehydrogenase,7
DEFOLIATION,7
proteolysis,7
kikuyu,7
Soyasapogenol B,7
residual feed intake,7
Tree lucerne,7
Spatial structure,7
Specific root length,7
Desiccation,7
FDR,7
Chamise,7
zeaxanthin epoxidase,7
protein utilization,7
Short chain fatty acid,7
BADH,7
VULGARIS L.,7
HYDROLYSIS,7
Treatments,7
Dimethylhexadecylamine,7
EQUOL,7
Chemical additive,7
LANDSAT,7
moose,7
DREB,7
Hsp70,7
LEAF CHLOROPHYLL CONTENT,7
Pseudomonas sp,7
Soil erosion,7
symbiotic nodulation,7
Bacillus megaterium,7
Cattle manure,7
LEA GENE,7
FERTIGATION,7
ETHYLENE PRODUCTION,7
CeO2,7
Type III secretion system,7
multigene family,7
Cytokinin signaling,7
marigold,7
ATMOSPHERIC CO2,7
Cell structure,7
invitro digestibility,7
INSPECTION,7
Soil compaction,7
HUMAN CONSUMPTION,7
SECRETORY PATHWAY,7
iron uptake,7
RAM1,7
ANTIOXIDANT DEFENSE SYSTEM,7
Adc,7
LAW,7
IRLC,7
LACCASE,7
SMRT,7
RELATEDNESS,7
ISLANDS,7
shoot number,7
REPRODUCTIVE SUCCESS,7
uterine,7
agricultural pest,7
Double strand break,7
SACCHARIFICATION,7
reuse,7
polyphenol oxidase,7
Kinetic model,7
land equivalent ratio,7
IRRIGATED ALFALFA,7
IRRADIATION,7
RESILIENCE,7
Stomatal aperture,7
Chemical control,7
model performance,7
sativa l,7
retention time,7
CO2 EFFLUX,6
Therioaphis maculata,6
Brine shrimp,6
CHOP LENGTH,6
metabolic profiling,6
COENZYME,6
meadow fescue,6
ruminal methanogenesis,6
Irrigation volume,6
LDA,6
Tdp1 gene,6
Keel petal,6
PCoA,6
GsWRKY20,6
ASTERACEAE,6
EPICUTICULAR WAX,6
LEAF PROTEIN,6
SEMIARID LOESS PLATEAU,6
maturity stage,6
Transgenic Arabidopsis thaliana,6
phacelia,6
LEAF BLADE OUTGROWTH,6
Button medic,6
mercury,6
structural analysis,6
STANLEY,6
PHOSPHOPROTEIN,6
SODIUM SELENITE,6
CHLORINE DIOXIDE,6
COBALT,6
wet corn gluten feed,6
UC Davis,6
pest resistance,6
green maize,6
OXYSPORUM,6
SEQUESTRATION,6
Oomycete,6
Oomycete pathogen,6
SPRING REGROWTH,6
CHLORATE,6
PEAR,6
SSR markers,6
degraded grassland,6
Transfer factor,6
Operation condition,6
dichlorvos,6
denitrification,6
PFASS,6
Total root length,6
BILIRUBIN,6
Knockout mutant,6
Aspen,6
Alfalfa with cream flower,6
network analysis,6
growth year,6
EPSPS,6
oat straw,6
neuroprotective,6
H+-PPASE,6
Greenhouse gas,6
cryogenic storage,6
PERIARBUSCULAR MEMBRANE,6
diarrhea,6
phosphate starvation,6
ryegrass pasture,6
SOLE FORAGE,6
purine derivative,6
MfEF2,6
SOLID FEED,6
SONGNEN PLAIN,6
ENTRANCE,6
ENVELOPE,6
Topography,6
Transgene expression,6
DEPRESSION,6
Tnt1 retrotransposon,6
Membrane transport,6
SHEAR,6
weight gain,6
Kinase activity,6
Trapping,6
Membrane permeability,6
Transcription factors,6
weight change,6
quarantine,6
H2O,6
SOIL RESPIRATION,6
PHANTASTICA,6
OVULE STERILITY,6
Metabolite profiling,6
Growth regulator,6
melanin,6
cysteine protease,6
Tibetan pig,6
KANSAS,6
ASSISTED EXTRACTION,6
phenology,6
Tissue specific,6
PAPILLAE,6
CITRUS PULP,6
SEED TREATMENT,6
DIAGNOSIS,6
IPT,6
Analgesic,6
NODULE GROWTH,6
Straw mulch,6
NODULE ACTIVITY,6
CASEIN,6
NOD FACTOR PERCEPTION,6
Stomata,6
Senescence,6
Stocking rate,6
flower development,6
genetic modification,6
Sequence polymorphism,6
Muscovite,6
survivorship,6
NITRATE TEST,6
Gara,6
yield production,6
ISOLIQUIRITIGENIN,6
Seed size,6
ITIS,6
NRT2,6
In situ Digestibility,6
Support vector machine,6
MtDGD1,6
mineral nutrition,6
genomic location,6
Seed coating,6
CCT,6
CCOMT,6
GROWTH ANALYSIS,6
fibre concentration,6
NORMAL GROWTH,6
NORM,6
INDOLE CONCENTRATION,6
NONPROTEIN NITROGEN,6
rhizosphere pH,6
field bean,6
genetic architecture,6
Spodoptera exigua,6
Surface irrigation,6
Spinach beet,6
fractionation,6
fragmentation,6
frass analysis,6
Genetic determinism,6
freezing stress,6
gene density,6
Damage degree,6
Soil temperature,6
Genetic linkage map,6
Soil enzyme activity,6
Genome structure,6
symbiotic rhizobium,6
Soil resistivity,6
INHERITANCE,6
ARBUSCULAR MYCORRHIZAL FUNGUS,6
Date palm,6
organogenesis,6
Soil aggregate,6
CAMPESTRIS,6
CARBOHYDRATE SOURCE,6
Sowing date,6
yield stability,6
INVERTED REPEAT,6
Spatial variability,6
ADAPTATION MECHANISM,6
CALLOSE,6
sweet basil,6
Simmental calf,6
Animal feed,6
NANOCERIA,6
Diagnosis,6
NATIVE RHIZOBIA,6
forage particle size,6
forage protein,6
mung bean seed,6
Gene structure,6
Dairy cows,6
Saponins,6
NYLON BAG,6
dryland salinity,6
TRANSDUCTION,6
thistle,6
wild Medicago,6
IMAZETHAPYR,6
root nodule development,6
Nutrient resorption,6
TROPHIC LEVEL,6
microarray analysis,6
Grafting,6
Inulin,6
Mobile bag,6
microbial N,6
TRANSFERABILITY,6
Novel trait confinement,6
thermal constant,6
SUGARCANE,6
endoreduplication,6
Ultrasound,6
wide swath,6
CHERNOZEM,6
effector,6
early nodulin,6
metabolite profiling,6
dwarfism,6
succinic acid,6
root phenotype,6
dynamics,6
ENDOGENOUS NO,6
oomycete,6
echinocystic acid,6
orbitrap,6
GERMPLASM COLLECTION,6
economic analysis,6
economic threshold,6
methyl anthranilate,6
radiation use efficiency,6
DIET PREFERENCE,6
EMBRYOGENESIS,6
DIFFERENTIAL EXPRESSION ANALYSIS,6
enteric methane,6
GRAZING EXPERIMENT,6
Insertional mutagenesis,6
MsDJLP,6
Inbreeding,6
DIPTERA,6
Saline irrigation,6
In vitro rumen fermentation,6
Net Energy Lactation,6
Neocallimastix,6
Natural variation,6
Saliva deposition,6
MsHSP23,6
GRAPHENE,6
Salmonella typhimurium,6
particle length,6
Najdi ewes,6
Nabis,6
tannic acid,6
summer drought,6
TCP,6
ECONOMIC VALUE,6
GR79Ms,6
Molybdenum,6
EGG QUALITY,6
Nod factor perception,6
glutamine synthetase,6
IMPROVE GERMINATION,6
ergosterol,6
SYMBIOSOME DEVELOPMENT,6
esterase,6
ethanol production,6
CAD,6
microbial nitrogen,6
SYMBIOTIC EFFICIENCY,6
SYMBIOTIC NODULE DEVELOPMENT,6
Glycosylation,6
EDDS,6
ECOTOXICITY,6
CENTRAL CHILE,6
tensile strength,6
Forages,6
COEXISTENCE,6
FST,6
selfing,6
Lalsil,6
biogas,6
Yonjeh,6
MITOCHONDRIA,6
BOTRYTIS,6
hypoxia,6
Biodiversity,6
FUNCTIONAL DIVERSITY,6
Yellowtop,6
HETEROPTERA,6
nitrogen transformation,6
CoCl2,6
Biofertiliser,6
XYLOGLUCAN,6
hypersensitive response,6
illumination,6
Phosphoenolpyruvate carboxylase,6
porous carbon,6
abc transporter,6
plant loss,6
RIBOSOME,6
nitrogen uptake,6
Bicarbonate alkaline stress,6
Expansin,6
Acanthamoeba,6
Cistus ladanifer,6
RNA processing,6
Citrus,6
leaf meal,6
above ground biomass,6
Eutrophication,6
Photosynthetic efficiency,6
Photosynthesis rate,6
image processing,6
XYLOGALACTURONAN,6
Uniformity,6
LIVEWEIGHT,6
Endophytic bacterium,6
Energy demand,6
PWDI,6
MTNRT1.3,6
calcium oxalate,6
Endoreduplication,6
MTSUCS1,6
calcium spiking,6
Concentrates,6
nitrogen loss,6
nitrogen fertilization,6
canopy interception,6
Relative feed value,6
nutrient intake,6
spatial variation,6
plant adaptation,6
Constitutive expression,6
PYROLYSIS,6
LOB,6
Energy metabolism,6
ABI5,6
hydropriming,6
Pea streak virus,6
life table,6
browser,6
BOER,6
LONG HAY,6
waste date,6
nitrogen fixation efficiency,6
Partial resistance,6
Range expansion,6
Raphanus sativus,6
humic,6
ANIMAL NUTRITION,6
HERBAGE MASS,6
limiting factor,6
Beta vulgaris,6
Phytophthora root rot,6
RIBOFLAVIN,6
RCVMV,6
nodC,6
Bactericidal,6
Loess Plateau,6
LjmiR156a,6
polyamine oxidation,6
Prevalence,6
Canopy reflectance,6
Cellulose synthase,6
RHIZOCTONIA,6
Lipolysis,6
alfalfa polysaccharide,6
FLORAL ORGAN DEVELOPMENT,6
Chalkbrood,6
FBNSV,6
FLORIGEN,6
Lignin content,6
Bacterial wilt,6
soil compaction,6
sludge biochar amendment,6
Cell wall biosynthesis,6
smooth bromegrass,6
amplified fragment length polymorphism,6
Lucerne transient streak virus,6
aluminum stress,6
antimicrobial activity,6
Lucerne green juice,6
alternative splicing,6
interspecific competition,6
undigested neutral detergent fiber,6
invasive plant,6
alkalinity,6
Cell expansion,6
RACE 2,6
RAD1,6
RADICLE GROWTH,6
REED CANARYGRASS,6
Life cycle assessment,6
Calcareous soil,6
HYPERCALCEMIA,6
FORAGE HARVESTER,6
aflatoxin,6
HISTOLOGY,6
Plant cell culture,6
REUSE,6
Chlormequat chloride,6
Leaf gas exchange,6
RFQ,6
RHABDOVIRUS,6
shear force,6
soil respiration,6
Piriformospora indica,6
CYCLOPS,6
Pi transporter,6
Acid hydrolysis,6
Leaf senescence,6
bacterial symbiont,6
polyphagous,6
Beauveria bassiana,6
ascorbic acid,6
plant protein,6
REHABILITATION,6
association mapping,6
FAO-56,6
ALPHAPARTITIVIRUS,6
HYDROXYLATION,6
transparent testa,6
agronomy,6
Chewing,6
FOLIAR APPLICATION,6
Plantago lanceolata,6
Bean leafroll virus,6
Chilling stress,6
MEGACHILE,6
specialization,6
Peristenus,6
Medicago GeneChip,6
BIOCONTROL,6
machine learning,6
chlorine dioxide,6
LIGNIN BIOSYNTHESIS,6
Hormone signal,6
LENTIL,6
Alfalfa cultivars,6
Medicago ciliaris L.,6
hemp,6
Root and nodule development,6
ABUNDANT PROTEIN,6
Brachypodium distachyon,6
Management zone,6
WEB SERVER,6
Ruminal degradability,6
consumer acceptance,6
LIVESTOCK PRODUCTION,6
POROSITY,6
Fluorescence in situ hybridization,6
Herbage yield,6
lucerne extract,6
Fragmentation,6
Vicia villosa,6
LEVULINIC ACID,6
protein metabolism,6
herbage accumulation,6
EXOGENOUS ENZYME,6
Hippodamia,6
Markers,6
Crop residue,6
protein structure,6
common symbiotic pathway,6
common vetch,6
Crop model,6
common leaf spot,6
CONFIRMATION,6
common garden,6
Homoeologue,6
Homoglutathione,6
WATER PRODUCTIVITY,6
lucerne ley,6
Croatia,6
transcriptional regulation,6
Root colonization,6
protein turnover,6
stoichiometry,6
SASKATCHEWAN,6
nitrate transport,6
nitrate leaching,6
Forage crops,6
Braconidae,6
Fiber level,6
WETLAND,6
PROLINE BIOSYNTHESIS,6
COINOCULATION,6
Aphidiinae,6
transformation of alfalfa,6
Verticillium alfalfae,6
WIDE CHARACTERIZATION,6
Roundup,6
lucerne weevil,6
LEAF SENESCENCE,6
Alfalfa fields,6
PLASMODESMATA,6
Residues,6
cell wall digestibility,6
Uridine,6
Resequencing,6
Holocellulose,6
HATCH,6
Reproductive trait,6
PLGA,6
Uric acid,6
Feeding rate,6
luteolin,6
ATLAS,6
Alfalfa leafcutting bee,6
COOKING,6
intergenic spacer,6
Ferulic acid,6
SEDIMENT YIELD,6
spontaneous nodulation,6
LINSEED,6
Cytorhabdovirus,6
LIPID OXIDATION,6
Magnesium,6
PLANTING PATTERN,6
WHEEL,6
PHYTASE,6
Resource limitation,6
Medicago arabica,6
proline concentration,6
HAIRPIN,6
BADH gene,5
CALCIUM PROPIONATE,5
MEIOSIS,5
LEPIDOPTERA,5
genetic gain,5
Bathyplectes,5
heat damage,5
BIOHYDROGEN PRODUCTION,5
ISOFLAVONOID BIOSYNTHESIS,5
weed competition,5
nitrogenase activity,5
HARDWOOD,5
Aquaporins,5
nutrient resorption,5
mixed silage,5
hardseededness,5
MEDITERRANEAN REGION,5
MtVP1,5
MtRGF3,5
normalization,5
omega-3 fatty acid,5
BIOGAS PRODUCTION,5
LjPT4,5
total collection,5
BACTERIAL COMMUNITY STRUCTURE,5
multiproduct sesquiterpene synthase,5
harvest intensity,5
issr marker,5
N balance,5
Medicago species,5
Bacterial inoculation,5
Bristle grass,5
HSP70,5
H2S PRODUCTION,5
INNOVATION,5
HRM,5
manganese,5
Medicago varia,5
INGESTIVE BEHAVIOR,5
gallic acid,5
tomato and alfalfa,5
Bacterial density,5
HAB,5
internal friction,5
nodule CO2 fixation,5
Genome organization,5
monolignol pathway,5
monolignol,5
genetic differentiation,5
malate transporter,5
MEADOW FESCUE,5
no apical meristem,5
nonprotein nitrogen,5
inflorescence length,5
HYDROPEROXIDE,5
H+-ATPase,5
LEGUME CONTENT,5
HOMOGLUTATHIONE,5
MATTER CONCENTRATION,5
Arabinogalactan protein,5
Arizona,5
lysm domain,5
BRINE SHRIMP,5
LEAVES,5
Lithium,5
malate,5
infusion,5
BACTEROID DEVELOPMENT,5
gene transformation,5
BACTERIAL WILT,5
Living mulch,5
Arachis hypogaea,5
INTRASPECIFIC COMPETITION,5
MAPKKK,5
Metal tolerance,5
organic contaminant,5
hypolipidemic,5
BODY CONDITION,5
Herbage allowance,5
Biological control service,5
MONOSACCHARIDE TRANSPORTER,5
heterogeneity,5
MONOLIGNOL BIOSYNTHESIS,5
wall thickness,5
Biological N-2 fixation,5
microbial biomass c,5
tenderness,5
ley,5
Herbicide resistance,5
Biosolids,5
local adaptation,5
herbivory,5
LUTEOLIN,5
winter wheat,5
leguminous fodder,5
taproot length,5
Haustoria,5
glutamate dehydrogenase,5
HEADLESS,5
Harvesting time,5
leafcutter bee,5
nanofiber,5
Maharashtra,5
MORPHOLOGICAL DEVELOPMENT,5
lipid transfer protein,5
Irrigation area,5
Heme oxygenase,5
nitrogen fertilisation,5
Microscopic observation,5
grain source,5
Helicase,5
Grassland productivity,5
Artificial microRNA,5
necrotrophic fungal pathogen,5
Hedysarum,5
horse feed,5
nutrient cycling,5
whole crop corn,5
BLUEGREEN APHID,5
C-14-phenanthrene mineralisation,5
Bioreduction,5
wheat yield,5
MSW compost,5
high pressure,5
MSAP,5
green cover,5
Ion homeostasis,5
glyphosate resistance,5
Bioremediation,5
C and N sequestration,5
Microbial activity,5
Induction of somatic embryogenesis,5
Image analysis,5
Hydrophilicity,5
INCONGRUENCE,5
CADMIUM ACCUMULATION,5
Apparent digestibility,5
MICROBIAL DIVERSITY,5
MsU2 gene,5
ACETYLATION,5
Aphidius ervi,5
Hairy vetch,5
Big bluestem,5
MtARF3,5
Landscape composition,5
METHANE YIELD,5
In situ ruminal degradability,5
Bermudagrass,5
gypsum,5
Imputation,5
MtLAP1,5
LEVERAGE,5
Immobilization,5
heifer calf,5
in vitro toxicity,5
Histone acetyltransferase,5
BRADYRHIZOBIUM,5
mixed cropping,5
lateral organ separation,5
Buckwheat,5
MICROMONOSPORA,5
milk urea nitrogen,5
MfNAC3,5
HETEROTROPHIC GROWTH,5
Antihypertensive peptide,5
microsporogenesis,5
Glycoconjugate,5
Glycinebetaine,5
Indigenous microbial population,5
lotus,5
leaf movement,5
ACETYLCHOLINESTERASE,5
Indeterminate nodule,5
Maralfalfa,5
Land abandonment,5
BAX,5
weed invasion,5
nadph oxidase,5
ACIDOSIS,5
immobilization,5
ABC transporter,5
MIGRATION,5
INBREEDING DEPRESSION,5
BCR,5
Biserrula,5
Bioaccumulation,5
Bioaccessibility,5
trypsin inhibitor,5
Deep root,5
Genistin,5
REMOBILIZATION,5
alfalfa revegetation,5
Centromere,5
polydispersity,5
REDOX HOMEOSTASIS,5
FAT COLOR,5
Acidity,5
REPEATABILITY,5
Cholecalciferol,5
Chicken manure,5
REPRODUCIBILITY,5
Acid precipitation,5
Chlorophyll a fluorescence,5
aerial biomass,5
AMPA,5
RECALCITRANCE,5
RDR6,5
RCT1,5
RAPID METHOD,5
alkaline phosphatase activity,5
FEEDLOT,5
RAINFALL INTENSITY,5
RAFFINOSE,5
RADIOCESIUM,5
Cell suspension culture,5
QUERCETIN,5
FERULIC ACID,5
Purple prairie clover,5
aluminum tolerance,5
Pseudomonas viridiflava,5
FIELD MEASUREMENT,5
amoA,5
adenylate cyclase,5
Acid deposition,5
specification,5
Rainwater harvesting,5
Wool,5
Woody,5
Environmental sustainability,5
RYEGRASS SILAGE,5
Cold tolerance,5
Wheel traffic,5
Weed management,5
Expression study,5
AVP1,5
ANIMAL MANURE,5
Complete genome,5
Reference ET,5
Endosome,5
seed predation,5
Coexistence,5
Xanthophylls,5
Epigenetic modification,5
ROUGHAGE SOURCE,5
Xylem vessel,5
YIELD ADVANTAGE,5
ANATOMY,5
ROOT HAIR TIP,5
ROOT HAIR DEFORMATION,5
ROOT DISTRIBUTION,5
Young sheep,5
Estradiol,5
ZEIN,5
Zn uptake,5
Abomasum,5
population fluctuation,5
population differentiation,5
FIELD PEA,5
ALUMINUM TOXICITY,5
Progeny test,5
biolog,5
FUNCTIONAL SPECIALIZATION,5
Peracetic acid,5
botanical and morphological composition,5
Permethrin,5
CROP PEST,5
solid feed,5
biohydrogenation,5
ploidy,5
Phlogopite,5
bioenergy,5
FRONTALIS,5
soil water infiltration,5
bioaccessibility,5
bimolecular fluorescence complementation,5
Peanut stunt virus,5
sonication,5
CREAM,5
CRA2,5
Path analysis,5
Pasture age,5
bush clover,5
cadaverine,5
Paraquat,5
COWPEA,5
soybean oil,5
PX CONCENTRATE,5
ALFALFA POPULATIONS,5
callus growth,5
Aldose reductase,5
PROTECTIVE ROLE,5
carbon density,5
FREDII,5
plant immunity,5
CWSI,5
Cadmium toxicity,5
FLC,5
aquaporin,5
Primary photosensitization,5
soil culture test,5
Canopy conductance,5
arable soil,5
Potato vine,5
ALTERED EXPRESSION,5
Pore network,5
Populus alba,5
FLOWER DEVELOPMENT,5
artificial pollination,5
plant regeneration,5
Polygenic,5
Polycomb,5
beet pulp,5
CYTOTOXICITY,5
Pluviometer,5
Aglycone,5
CYTOKININ BIOSYNTHESIS,5
Plant nutrition,5
FORAGE BIOMASS,5
Plant extract,5
bacteroid differentiation,5
CYP72A67,5
FORAGE SORGHUM,5
soil physical property,5
barnyard grass,5
soil recovery,5
FPA,5
Regulation mechanism,5
WINE,5
Contaminated soil,5
Salmonellosis,5
SYNTHASE ACTIVITY,5
root colonization,5
ECKLONIA MAXIMA EXTRACT,5
rate of loading,5
T. subterraneum,5
Systemic response,5
rearing system,5
ENCAPSIDATION,5
EARLY SENESCENCE,5
Salt sensitive,5
APOPTOSIS,5
recharge control,5
Sustainable agriculture,5
red fescue,5
DIOXIDE,5
SYMBIOTIC PHENOTYPE,5
TFIIS,5
APIDAE,5
TIO2,5
root disease,5
TIP GROWTH,5
EGYPT,5
SURFACE RUNOFF,5
APIARY,5
TRANS-10,5
SUNDOWN,5
SUCROSE CONCENTRATION,5
SUBTRACTIVE HYBRIDIZATION,5
EMBRYO DEVELOPMENT,5
STRINGENT RESPONSE,5
rabbit meat,5
Sclerotinia sclerotiorum,5
Suppression subtraction hybridization,5
red porgy,5
Shelf life,5
Soil disturbance,5
Soil conditioner,5
Soil N-15-access,5
ARANEAE,5
Dairy cattle,5
Sodium Diacetate,5
ARCHAEA,5
SkQ1,5
Soil water extraction,5
reproductive host,5
Diameter Increment,5
Soy hull,5
Speciation,5
ARGENTINE PAMPAS,5
Sprouts,5
Seasonal growth,5
DRINKING,5
Sensory evaluation,5
Stems,5
DNF2,5
regeneration system,5
Seeding rate,5
AQUIFER,5
rhizobox,5
Dry matter biomass,5
Sugar yield,5
Seed filling,5
Seed exudate,5
Superoxide,5
Secale cereale,5
DIAPAUSE DEVELOPMENT,5
DHDPS gene,5
AUTOTOXICITY,5
protein extraction,5
Creatinine,5
Root branching,5
Critical level,5
Eberhart and Russell,5
seaweed extract,5
Root hair development,5
Cucumber,5
root system architecture,5
EXOPOLYSACCHARIDE PRODUCTION,5
ANTHRACENE,5
VULNERABILITY,5
SAMPLE PREPARATION,5
VIGS,5
sand culture,5
Roman alfalfa,5
Cr2O3,5
WEE1,5
Ribosomal RNA gene,5
Rhizoremediation,5
WESTERN CANADA,5
Corrosion,5
WESTERN CHINA,5
WHEAT PRODUCTION,5
Reversibility,5
WHEAT ROTATION,5
Response surface methodology,5
Response regulator,5
Respiratory burst oxidase homolog,5
Conventional farming,5
AUTOPHOSPHORYLATION,5
Elongation zone,5
SATELLITE DNA,5
Cytochrome P450,5
VEGETATION RESTORATION,5
quality evaluation,5
AP2 DOMAIN,5
DGDG,5
Terminal bud,5
ENERGY DENSITY,5
Thermal time,5
Thiodicarb,5
SPRING BARLEY,5
rubidium,5
ENHANCED PHYTOREMEDIATION,5
SPERMIDINE,5
SPATIAL VARIABILITY,5
Tonoplast,5
DEMOGRAPHY,5
Transcript analysis,5
SOLUBLE CARBOHYDRATE CONTENT,5
Cytokinin oxidase,5
SOIL NITRATE,5
SOC1,5
SINE,5
DEFORMATION,5
DEFICIT IRRIGATION,5
SHOOT REGENERATION,5
SFE,5
U6 promoter,5
ULTRAFILTRATION,5
UNIFORMITY,5
UPLAND,5
UPTAKE SYSTEM,5
Uromyces striatus,5
proton gradient,5
cell wall development,5
Contractility,5
PROGRESSIVE DROUGHT,5
Allium cepa,5
differential response,5
Ovulation rate,5
digesta mat,5
Overwintering,5
CHRYSOMELIDAE,5
Osmotic adjustment,5
Organic soil,5
dispersal,5
Organic farming,5
CHLORPYRIFOS,5
petroleum hydrocarbon,5
GENUS MARAFIVIRUS,5
OVULATION RATE,5
OSMOLALITY,5
ORGAN SIZE,5
OKLAHOMA,5
OIL CONTENT,5
GISH,5
electrospray,5
dietary protein,5
CIRCADIAN CLOCK,5
subacute ruminal acidosis,5
Functional diversity,5
stem weight,5
PLANT ADAPTATION,5
PLA,5
complete chloroplast genome,5
PHYSICALLY EFFECTIVE FIBER,5
PHYLLODY,5
cotyledonary node,5
AGONA,5
COCCINELLIDAE,5
AFRICA,5
PHENOTYPIC PLASTICITY,5
phosphate transporter,5
cuticular wax,5
GALACTINOL SYNTHASE,5
deficiency response,5
PCD,5
PARAMETERS,5
PALLAS,5
Nucleorhabdovirus,5
Nuclear magnetic resonance,5
Alfalfa extract,5
GLOMEROMYCOTA,5
field scabious,5
NO SYNTHESIS,5
NITROSYLATION,5
flowering locus t,5
NITROGEN USE EFFICIENCY,5
fluorescence in situ hybridization,5
NHX,5
food safety,5
NEGATIVE REGULATOR,5
forage family,5
CARBON ASSIMILATION,5
Gene transformation,5
NACL STRESS,5
NACL SALINITY,5
ACUTE TOXICITY,5
Genetic divergence,5
Genetic regulation,5
osmotic adjustment,5
functional diversity,5
GROWTH TEMPERATURE,5
papain,5
fenugreek seed,5
exoH,5
endophytic bacteria,5
Northwest China,5
sugar metabolism,5
CERIUM,5
pectinase,5
ergovaline,5
sulfur deficiency,5
Nitrogen balance,5
Nitraria retusa,5
ADMIXTURE,5
pathogenic bacteria,5
pathogen strain,5
GRAPE POMACE,5
Natural enemies,5
farmyard manure,5
GRAZPLAN,5
feeding frequency,5
ADOPTION,5
Food safety,5
Orius,5
circadian,5
class III peroxidase,5
Alfalfa dwarf disease,5
Festulolium braunii,5
chromosome number,5
Fluorescence microscopy,5
cereal straw,5
CONFERS,5
PRESERVATION METHOD,5
Flavone,5
PRIMORDIUM FORMATION,5
PRESS,5
PRIMARY METABOLISM,5
Fine mapping,5
Flow cytometry,5
excreta collection period,4
Jasmonic acid,4
Pattern recognition,4
SPOILAGE,4
expansin,4
welfare,4
Plant attractiveness,4
K+ CHANNEL,4
net nitrate uptake,4
eutrophication,4
Tifton 85 bermudagrass,4
Morphological marker,4
eugenol,4
Nitrogen addition,4
SOUTHERN QUEENSLAND,4
quantitative resistance,4
SOUTHEASTERN AUSTRALIA,4
Nitrogen application,4
gluconeogenesis,4
network pharmacology,4
SPILLOVER,4
Nicotiana,4
Manihot esculenta,4
Taxonomy,4
TRITICUM,4
SUBACUTE RUMINAL ACIDOSIS,4
TRoV,4
STRUCTURAL GROWTH,4
Napier grass,4
fall dormancy rating,4
STRIGOLACTONE BIOSYNTHESIS,4
TYPHIMURIUM,4
Pasture grass,4
faecal egg count,4
Tandem mass spectrometry,4
MsGSTU8,4
STOCKING RATE,4
Tea,4
sorption,4
transfer factor,4
nectary,4
Natuzyme enzyme,4
Isoflavone synthase,4
factor analysis,4
Isotope labeling,4
Isotopic composition,4
buckwheat,4
Next generation sequencing,4
membrane potential,4
Testa,4
ST protein,4
SRWC,4
SOLAR TRACKING,4
